"","yr","variable","MEI"
"750",1962,"nov.dec",-0.505
"751",1963,"nov.dec",0.744
"752",1964,"nov.dec",-0.936
"753",1965,"nov.dec",1.252
"754",1966,"nov.dec",-0.199
"755",1967,"nov.dec",-0.378
"756",1968,"nov.dec",0.347
"757",1969,"nov.dec",0.398
"758",1970,"nov.dec",-1.223
"759",1971,"nov.dec",-0.993
"760",1972,"nov.dec",1.766
"761",1973,"nov.dec",-1.848
"762",1974,"nov.dec",-0.905
"763",1975,"nov.dec",-1.757
"764",1976,"nov.dec",0.55
"765",1977,"nov.dec",0.86
"766",1978,"nov.dec",0.388
"767",1979,"nov.dec",0.989
"768",1980,"nov.dec",0.089
"769",1981,"nov.dec",-0.141
"770",1982,"nov.dec",2.411
"771",1983,"nov.dec",-0.188
"772",1984,"nov.dec",-0.603
"773",1985,"nov.dec",-0.293
"774",1986,"nov.dec",1.19
"775",1987,"nov.dec",1.282
"776",1988,"nov.dec",-1.328
"777",1989,"nov.dec",0.115
"778",1990,"nov.dec",0.348
"779",1991,"nov.dec",1.32
"780",1992,"nov.dec",0.648
"781",1993,"nov.dec",0.589
"782",1994,"nov.dec",1.237
"783",1995,"nov.dec",-0.554
"784",1996,"nov.dec",-0.336
"785",1997,"nov.dec",2.335
"786",1998,"nov.dec",-0.922
"787",1999,"nov.dec",-1.161
"788",2000,"nov.dec",-0.566
"789",2001,"nov.dec",0.019
"790",2002,"nov.dec",1.145
"791",2003,"nov.dec",0.351
"792",2004,"nov.dec",0.667
"793",2005,"nov.dec",-0.57
"794",2006,"nov.dec",0.951
"795",2007,"nov.dec",-1.193
"796",2008,"nov.dec",-0.663
"797",2009,"nov.dec",1.045
"798",2010,"nov.dec",-1.577
"799",2011,"nov.dec",-0.957
"800",2012,"nov.dec",0.094
"801",2013,"nov.dec",-0.248
"802",2014,"nov.dec",0.558
"803",2015,"nov.dec",2.112
